uri,day,headline_count,has_hero
www.latimes.com,2016-06-15,5,1
www.latimes.com,2016-06-16,5,1
www.latimes.com,2016-06-17,5,1
www.latimes.com,2016-06-18,5,1
www.latimes.com,2016-06-19,5,1
www.latimes.com,2016-06-20,5,0
www.latimes.com,2016-06-21,5,1
www.latimes.com,2016-06-22,5,1
www.latimes.com,2016-06-23,5,1
www.latimes.com,2016-06-24,5,1
www.latimes.com,2016-06-25,3,0
www.latimes.com,2016-06-26,5,1
www.latimes.com,2016-06-27,5,1
www.latimes.com,2016-06-28,5,1
www.latimes.com,2016-06-29,5,1
www.latimes.com,2016-06-30,5,1
www.cbsnews.com,2016-06-01,10,1
www.cbsnews.com,2016-06-02,10,1
www.cbsnews.com,2016-06-03,10,0
www.cbsnews.com,2016-06-04,10,1
www.cbsnews.com,2016-06-05,10,0
www.cbsnews.com,2016-06-06,10,1
www.cbsnews.com,2016-06-07,10,1
www.cbsnews.com,2016-06-08,10,0
www.cbsnews.com,2016-06-09,10,1
www.cbsnews.com,2016-06-10,10,1
www.cbsnews.com,2016-06-11,10,1
www.cbsnews.com,2016-06-12,10,1
www.cbsnews.com,2016-06-13,10,0
www.cbsnews.com,2016-06-14,10,0
www.cbsnews.com,2016-06-15,10,0
www.cbsnews.com,2016-06-16,10,0
www.cbsnews.com,2016-06-17,10,1
www.cbsnews.com,2016-06-18,10,1
www.cbsnews.com,2016-06-19,10,1
www.cbsnews.com,2016-06-20,10,1
www.cbsnews.com,2016-06-21,10,1
www.cbsnews.com,2016-06-22,10,1
www.cbsnews.com,2016-06-23,10,1
www.cbsnews.com,2016-06-24,10,1
www.cbsnews.com,2016-06-25,10,1
www.cbsnews.com,2016-06-26,10,1
www.cbsnews.com,2016-06-27,10,1
www.cbsnews.com,2016-06-28,10,1
www.cbsnews.com,2016-06-29,10,0
www.cbsnews.com,2016-06-30,10,1
www.nbcnews.com,2016-06-01,0,0
www.nbcnews.com,2016-06-02,0,0
www.nbcnews.com,2016-06-03,0,0
www.nbcnews.com,2016-06-04,0,0
www.nbcnews.com,2016-06-05,0,0
www.nbcnews.com,2016-06-06,0,0
www.nbcnews.com,2016-06-07,0,0
www.nbcnews.com,2016-06-08,0,0
www.nbcnews.com,2016-06-09,0,0
www.nbcnews.com,2016-06-10,0,0
www.nbcnews.com,2016-06-11,0,0
www.nbcnews.com,2016-06-12,0,0
www.nbcnews.com,2016-06-13,0,0
www.nbcnews.com,2016-06-14,0,0
www.nbcnews.com,2016-06-15,0,0
www.nbcnews.com,2016-06-16,0,0
www.nbcnews.com,2016-06-17,0,0
www.nbcnews.com,2016-06-18,0,0
www.nbcnews.com,2016-06-19,0,0
www.nbcnews.com,2016-06-20,0,0
www.nbcnews.com,2016-06-21,0,0
www.nbcnews.com,2016-06-22,0,0
www.nbcnews.com,2016-06-23,0,0
www.nbcnews.com,2016-06-24,0,0
www.nbcnews.com,2016-06-25,0,0
www.nbcnews.com,2016-06-26,0,0
www.nbcnews.com,2016-06-27,0,0
www.nbcnews.com,2016-06-28,0,0
www.nbcnews.com,2016-06-29,0,0
www.nbcnews.com,2016-06-30,0,0
www.npr.org,2016-06-01,5,1
www.npr.org,2016-06-02,5,1
www.npr.org,2016-06-03,5,1
www.npr.org,2016-06-04,5,1
www.npr.org,2016-06-05,5,1
www.npr.org,2016-06-06,5,1
www.npr.org,2016-06-07,5,1
www.npr.org,2016-06-08,5,1
www.npr.org,2016-06-09,5,1
www.npr.org,2016-06-10,5,1
www.npr.org,2016-06-11,5,1
www.npr.org,2016-06-12,5,1
www.npr.org,2016-06-13,5,1
www.npr.org,2016-06-14,5,1
www.npr.org,2016-06-15,5,1
www.npr.org,2016-06-16,5,1
www.npr.org,2016-06-17,5,1
www.npr.org,2016-06-18,5,1
www.npr.org,2016-06-19,5,1
www.npr.org,2016-06-20,5,1
www.npr.org,2016-06-21,5,1
www.npr.org,2016-06-22,5,1
www.npr.org,2016-06-23,5,1
www.npr.org,2016-06-24,5,1
www.npr.org,2016-06-25,5,1
www.npr.org,2016-06-26,5,1
www.npr.org,2016-06-27,5,1
www.npr.org,2016-06-28,5,1
www.npr.org,2016-06-29,5,1
www.npr.org,2016-06-30,4,1
www.nytimes.com,2016-06-01,9,1
www.nytimes.com,2016-06-02,8,1
www.nytimes.com,2016-06-03,2,0
www.nytimes.com,2016-06-04,8,1
www.nytimes.com,2016-06-05,1,1
www.nytimes.com,2016-06-06,9,1
www.nytimes.com,2016-06-07,9,1
www.nytimes.com,2016-06-08,5,1
www.nytimes.com,2016-06-09,9,1
www.nytimes.com,2016-06-10,9,1
www.nytimes.com,2016-06-11,8,1
www.nytimes.com,2016-06-12,2,0
www.nytimes.com,2016-06-13,7,1
www.nytimes.com,2016-06-14,7,1
www.nytimes.com,2016-06-15,7,1
www.nytimes.com,2016-06-16,9,1
www.nytimes.com,2016-06-17,9,1
www.nytimes.com,2016-06-18,9,1
www.nytimes.com,2016-06-19,9,1
www.nytimes.com,2016-06-20,9,1
www.nytimes.com,2016-06-21,9,1
www.nytimes.com,2016-06-22,9,1
www.nytimes.com,2016-06-23,6,0
www.nytimes.com,2016-06-24,3,1
www.nytimes.com,2016-06-25,8,1
www.nytimes.com,2016-06-26,9,1
www.nytimes.com,2016-06-27,4,0
www.nytimes.com,2016-06-28,4,1
www.nytimes.com,2016-06-29,6,0
www.nytimes.com,2016-06-30,10,1
www.usatoday.com,2016-06-01,10,1
www.usatoday.com,2016-06-02,10,1
www.usatoday.com,2016-06-03,10,1
www.usatoday.com,2016-06-04,10,1
www.usatoday.com,2016-06-05,10,1
www.usatoday.com,2016-06-06,10,1
www.usatoday.com,2016-06-07,10,1
www.usatoday.com,2016-06-08,10,1
www.usatoday.com,2016-06-09,10,1
www.usatoday.com,2016-06-10,10,1
www.usatoday.com,2016-06-11,10,1
www.usatoday.com,2016-06-12,10,1
www.usatoday.com,2016-06-13,10,1
www.usatoday.com,2016-06-14,10,1
www.usatoday.com,2016-06-15,10,1
www.usatoday.com,2016-06-16,10,1
www.usatoday.com,2016-06-17,10,1
www.usatoday.com,2016-06-18,10,1
www.usatoday.com,2016-06-19,10,1
www.usatoday.com,2016-06-20,10,1
www.usatoday.com,2016-06-21,10,1
www.usatoday.com,2016-06-22,10,1
www.usatoday.com,2016-06-23,10,1
www.usatoday.com,2016-06-24,10,1
www.usatoday.com,2016-06-25,10,1
www.usatoday.com,2016-06-26,10,1
www.usatoday.com,2016-06-27,10,1
www.usatoday.com,2016-06-28,10,1
www.usatoday.com,2016-06-29,10,1
www.usatoday.com,2016-06-30,10,1
www.washingtonpost.com,2016-06-01,5,0
www.washingtonpost.com,2016-06-02,5,0
www.washingtonpost.com,2016-06-03,5,0
www.washingtonpost.com,2016-06-04,5,0
www.washingtonpost.com,2016-06-05,7,0
www.washingtonpost.com,2016-06-06,5,0
www.washingtonpost.com,2016-06-07,5,0
www.washingtonpost.com,2016-06-08,4,0
www.washingtonpost.com,2016-06-09,5,0
www.washingtonpost.com,2016-06-10,5,0
www.washingtonpost.com,2016-06-11,5,0
www.washingtonpost.com,2016-06-12,5,0
www.washingtonpost.com,2016-06-13,0,1
www.washingtonpost.com,2016-06-14,8,1
www.washingtonpost.com,2016-06-15,8,0
www.washingtonpost.com,2016-06-16,5,0
www.washingtonpost.com,2016-06-17,7,0
www.washingtonpost.com,2016-06-18,5,0
www.washingtonpost.com,2016-06-19,5,0
www.washingtonpost.com,2016-06-20,5,0
www.washingtonpost.com,2016-06-21,5,0
www.washingtonpost.com,2016-06-22,6,0
www.washingtonpost.com,2016-06-23,5,0
www.washingtonpost.com,2016-06-24,0,0
www.washingtonpost.com,2016-06-25,2,1
www.washingtonpost.com,2016-06-26,7,1
www.washingtonpost.com,2016-06-27,5,0
www.washingtonpost.com,2016-06-28,4,1
www.washingtonpost.com,2016-06-29,1,0
www.washingtonpost.com,2016-06-30,5,0
www.wsj.com,2016-06-01,10,1
www.wsj.com,2016-06-02,10,1
www.wsj.com,2016-06-03,10,1
www.wsj.com,2016-06-04,10,1
www.wsj.com,2016-06-05,10,1
www.wsj.com,2016-06-06,10,1
www.wsj.com,2016-06-07,10,1
www.wsj.com,2016-06-08,10,1
www.wsj.com,2016-06-09,10,1
www.wsj.com,2016-06-10,10,1
www.wsj.com,2016-06-11,10,1
www.wsj.com,2016-06-12,10,1
www.wsj.com,2016-06-13,10,1
www.wsj.com,2016-06-14,10,1
www.wsj.com,2016-06-15,10,1
www.wsj.com,2016-06-16,10,1
www.wsj.com,2016-06-17,10,1
www.wsj.com,2016-06-18,10,1
www.wsj.com,2016-06-19,10,1
www.wsj.com,2016-06-20,10,1
www.wsj.com,2016-06-21,10,1
www.wsj.com,2016-06-22,10,1
www.wsj.com,2016-06-23,10,1
www.wsj.com,2016-06-24,10,1
www.wsj.com,2016-06-25,8,1
www.wsj.com,2016-06-26,10,1
www.wsj.com,2016-06-27,10,1
www.wsj.com,2016-06-28,10,1
www.wsj.com,2016-06-29,10,1
www.wsj.com,2016-06-30,10,1
abcnews.go.com,2016-07-01,0,0
abcnews.go.com,2016-07-02,0,0
abcnews.go.com,2016-07-03,0,0
abcnews.go.com,2016-07-04,0,0
abcnews.go.com,2016-07-05,0,0
abcnews.go.com,2016-07-06,0,0
abcnews.go.com,2016-07-07,0,0
abcnews.go.com,2016-07-08,0,0
abcnews.go.com,2016-07-09,0,0
abcnews.go.com,2016-07-10,0,0
abcnews.go.com,2016-07-11,0,0
abcnews.go.com,2016-07-12,0,0
abcnews.go.com,2016-07-13,0,0
abcnews.go.com,2016-07-14,0,0
abcnews.go.com,2016-07-15,0,0
abcnews.go.com,2016-07-16,0,1
abcnews.go.com,2016-07-17,0,1
abcnews.go.com,2016-07-18,0,1
